Years,company,total_laid_off,Rankings
2020,Booking.com,4375,1
2020,Uber,6700,2
2020,Groupon,2800,3
2020,Airbnb,1900,4
2021,Katerra,2434,1
2021,Zillow,2000,2
2021,Instacart,1877,3
2021,Bytedance,3600,4
2022,Meta,11000,1
2022,Amazon,10000,2
2022,Cisco,4100,3
2022,Philips,4000,4
2023,Google,12000,1
2023,Meta,10000,2
2023,Microsoft,10000,2
2023,Amazon,9000,3
2023,Ericsson,8500,4
2024,Intel,15000,1
2024,Tesla,14000,2
2024,SAP,8000,3
2024,Dell,6000,4
2025,Intel,22000,1
2025,Microsoft,15000,2
2025,Intel,5000,3
2025,Meta,3600,4
