order_id,order_time,delivery_time,app_session_id,delivery_agent_id,restaurant_id,primary_product_id,delivery_fee_paid,payment_mode,sales_quantity,total_price,delivery_flag,order_day,order_month,order_year,min_time_delivery,order_hour,weekday(order_time)
1,"2024-09-11 11:13:05","2024-09-11 12:14:05",19443,1570,130,3083,30,Cash,3,623,Paid,11,9,2024,61,11,2
2,"2024-09-13 03:48:42","2024-09-13 05:17:42",344,1647,185,2867,52,Wallet,1,300,Paid,13,9,2024,89,3,4
3,"2025-03-03 01:49:44","2025-03-03 02:33:44",12135,1508,176,4996,32,Card,2,425,Paid,3,3,2025,44,1,0
4,"2025-01-08 11:32:19","2025-01-08 12:14:19",19991,1345,72,75,52,Cash,4,791,Paid,8,1,2025,42,11,2
5,"2024-07-29 02:59:48","2024-07-29 04:29:48",6240,1752,36,3158,48,Card,5,1259,Paid,29,7,2024,90,2,0
6,"2024-08-24 04:41:23","2024-08-24 05:20:23",19018,1347,236,1077,54,Card,2,414,Paid,24,8,2024,39,4,5
7,"2024-10-29 16:25:56","2024-10-29 17:48:56",18866,1387,23,288,0,Card,4,813,Complimentary,29,10,2024,83,16,1
8,"2025-06-06 09:44:36","2025-06-06 10:20:36",13699,1304,40,2868,0,Cash,5,1128,Complimentary,6,6,2025,36,9,4
9,"2024-11-13 19:29:03","2024-11-13 20:59:03",14441,1118,262,3008,27,Card,2,463,Paid,13,11,2024,90,19,2
10,"2025-04-12 09:57:08","2025-04-12 11:10:08",14761,1558,290,1260,31,Cash,1,125,Paid,12,4,2025,73,9,5
11,"2025-03-24 11:17:03","2025-03-24 12:12:03",4625,1796,222,23,41,Wallet,2,435,Paid,24,3,2025,55,11,0
12,"2024-11-26 14:47:06","2024-11-26 15:27:06",14707,1408,227,414,40,Wallet,5,1200,Paid,26,11,2024,40,14,1
13,"2025-06-09 17:13:15","2025-06-09 18:29:15",9737,1835,163,4508,0,Cash,5,1116,Complimentary,9,6,2025,76,17,0
14,"2024-11-14 05:52:17","2024-11-14 06:22:17",6608,1675,194,4702,44,Wallet,3,731,Paid,14,11,2024,30,5,3
