app_session_id,created_at,user_id,utm_source,device_type
1,"2024-09-03 22:23:36",2257,facebook,mobile
2,"2025-05-11 02:56:08",2531,google,mobile
3,"2025-05-19 11:03:58",3050,NULL,mobile
4,"2025-06-08 07:08:22",3307,google,mobile
5,"2024-09-29 13:12:49",3398,facebook,mobile
6,"2025-02-11 07:05:35",3775,email,tablet
7,"2024-11-28 02:54:48",2119,instagram,mobile
8,"2025-05-14 12:58:35",3103,NULL,mobile
9,"2025-04-04 00:16:03",4809,NULL,mobile
10,"2024-09-06 00:31:49",518,NULL,mobile
11,"2025-01-13 12:50:23",387,NULL,mobile
12,"2024-09-30 12:59:45",4523,google,mobile
13,"2024-11-28 05:44:54",784,facebook,mobile
14,"2024-11-29 03:27:06",2740,NULL,tablet
15,"2024-12-31 22:51:43",718,instagram,tablet
16,"2024-09-21 22:05:49",823,google,mobile
17,"2024-11-09 12:45:49",1598,facebook,mobile
18,"2024-12-08 07:06:29",4711,google,mobile
19,"2024-12-04 20:32:03",2801,facebook,tablet
20,"2024-07-06 11:32:33",3181,notification,mobile
21,"2024-12-27 10:07:50",2817,google,mobile
22,"2024-07-03 11:08:46",3978,NULL,mobile
23,"2024-12-25 07:56:54",3005,google,mobile
24,"2024-07-02 08:16:03",3641,NULL,tablet
25,"2025-02-19 14:45:41",1415,NULL,desktop
26,"2024-11-18 23:56:23",1515,NULL,mobile
27,"2024-09-08 08:35:43",3688,instagram,mobile
28,"2025-05-24 06:18:22",1780,NULL,tablet
29,"2025-02-14 04:55:40",2914,facebook,mobile
30,"2024-10-21 21:39:50",3700,NULL,mobile
31,"2024-10-23 06:40:12",563,instagram,mobile
32,"2024-08-12 17:51:03",3621,NULL,tablet
33,"2024-11-06 13:22:19",4739,NULL,tablet
34,"2025-06-22 11:23:56",3515,NULL,mobile
35,"2024-11-21 17:08:10",956,NULL,desktop
36,"2025-02-22 16:39:20",2012,NULL,mobile
37,"2025-05-08 11:44:00",940,email,mobile
38,"2024-09-28 18:06:04",294,NULL,mobile
39,"2025-06-19 20:47:55",384,NULL,mobile
40,"2024-11-22 13:11:53",3421,google,mobile
41,"2024-09-02 03:52:02",171,facebook,mobile
42,"2024-10-07 23:35:38",3869,NULL,mobile
43,"2024-09-15 05:36:49",4337,google,mobile
44,"2024-09-28 18:32:59",4919,NULL,mobile
45,"2025-02-23 18:48:46",2520,google,tablet
46,"2024-09-18 06:16:07",183,instagram,mobile
47,"2024-08-09 08:56:47",3570,google,mobile
48,"2025-01-27 07:42:24",2555,NULL,mobile
49,"2025-03-15 01:24:04",1346,NULL,mobile
50,"2025-03-21 21:14:03",598,email,mobile
51,"2024-11-01 07:09:55",1938,NULL,mobile
52,"2025-04-05 20:14:59",540,google,mobile
53,"2024-09-30 00:21:58",2174,google,mobile
54,"2025-02-16 21:39:10",988,NULL,mobile
55,"2025-01-09 00:54:41",2184,email,tablet
56,"2025-04-01 03:44:14",2281,facebook,tablet
57,"2024-10-24 15:04:41",4390,NULL,mobile
58,"2025-04-30 10:26:33",2543,NULL,mobile
59,"2025-01-14 09:00:35",1451,NULL,mobile
60,"2024-12-17 06:33:11",4804,NULL,mobile
61,"2025-05-25 20:27:04",3930,NULL,mobile
62,"2024-09-15 13:29:51",2211,google,mobile
63,"2025-02-04 13:19:25",2308,NULL,tablet
