food_item_id,restaurant_id,veg_nonveg,price,fooditem_name
1,255,veg,215,"Paneer Tikka"
2,187,non-veg,204,"Chicken 65"
3,181,non-veg,236,"Chicken 65"
4,223,veg,208,"Paneer Tikka"
5,105,non-veg,295,"Mutton Rogan Josh"
6,213,veg,296,"Aloo Paratha"
7,4,non-veg,118,"Chicken 65"
8,258,non-veg,188,"Chicken Biryani"
9,41,non-veg,231,"Chicken Biryani"
10,242,non-veg,227,"Butter Chicken"
11,299,veg,248,"Masala Dosa"
12,24,veg,292,"Paneer Tikka"
13,19,non-veg,119,"Chicken Biryani"
14,189,non-veg,145,"Chicken 65"
15,48,veg,259,"Chole Bhature"
16,89,veg,223,"Masala Dosa"
17,25,veg,238,"Aloo Paratha"
18,122,veg,217,"Aloo Paratha"
19,256,veg,216,"Masala Dosa"
20,121,non-veg,137,"Chicken 65"
21,287,veg,210,"Aloo Paratha"
22,231,veg,313,"Veg Biryani"
23,222,non-veg,264,"Butter Chicken"
24,70,veg,205,"Aloo Paratha"
25,263,veg,184,"Masala Dosa"
26,208,non-veg,232,"Fish Curry"
27,77,non-veg,142,"Fish Curry"
28,132,non-veg,166,"Chicken 65"
29,254,non-veg,243,"Mutton Rogan Josh"
30,168,veg,273,"Aloo Paratha"
31,155,non-veg,215,"Chicken 65"
32,160,non-veg,179,"Chicken 65"
33,157,non-veg,259,"Mutton Rogan Josh"
34,292,non-veg,194,"Butter Chicken"
35,170,non-veg,175,"Mutton Rogan Josh"
36,101,non-veg,259,"Chicken Biryani"
37,194,veg,316,"Aloo Paratha"
38,138,non-veg,169,"Mutton Rogan Josh"
39,63,veg,210,"Masala Dosa"
40,125,veg,274,"Chole Bhature"
41,71,veg,247,"Paneer Tikka"
42,107,veg,259,"Veg Biryani"
43,28,non-veg,231,"Chicken Biryani"
44,252,non-veg,267,"Chicken 65"
45,257,veg,285,"Paneer Tikka"
46,169,non-veg,232,"Chicken 65"
47,231,non-veg,322,"Fish Curry"
48,258,non-veg,186,"Chicken 65"
49,28,non-veg,141,"Fish Curry"
50,203,non-veg,198,"Mutton Rogan Josh"
51,136,veg,274,"Veg Biryani"
52,85,non-veg,252,"Chicken Biryani"
53,55,non-veg,194,"Mutton Rogan Josh"
54,129,non-veg,120,"Butter Chicken"
55,150,veg,317,"Paneer Tikka"
56,221,non-veg,183,"Fish Curry"
57,189,veg,214,"Paneer Tikka"
58,43,veg,255,"Aloo Paratha"
59,12,non-veg,172,"Mutton Rogan Josh"
60,121,veg,293,"Chole Bhature"
61,26,veg,171,"Chole Bhature"
62,96,non-veg,204,"Mutton Rogan Josh"
63,96,non-veg,200,"Chicken 65"
64,143,veg,150,"Masala Dosa"
65,1,non-veg,346,"Chicken Biryani"
66,40,non-veg,197,"Chicken Biryani"
67,78,veg,178,"Aloo Paratha"
68,179,non-veg,278,"Fish Curry"
69,186,veg,241,"Chole Bhature"
70,243,veg,253,"Masala Dosa"
71,49,veg,208,"Chole Bhature"
72,258,veg,140,"Paneer Tikka"
73,248,non-veg,171,"Fish Curry"
74,21,non-veg,140,"Chicken Biryani"
75,72,veg,286,"Veg Biryani"
76,148,non-veg,322,"Butter Chicken"
77,57,non-veg,169,"Mutton Rogan Josh"
78,23,non-veg,142,"Butter Chicken"
79,228,non-veg,224,"Butter Chicken"
80,92,non-veg,241,"Mutton Rogan Josh"
81,204,veg,179,"Masala Dosa"
82,206,veg,231,"Veg Biryani"
83,262,veg,234,"Veg Biryani"
84,129,non-veg,228,"Fish Curry"
85,77,non-veg,255,"Mutton Rogan Josh"
86,28,veg,301,"Veg Biryani"
87,30,veg,272,"Veg Biryani"
88,58,veg,304,"Paneer Tikka"
89,224,non-veg,154,"Chicken Biryani"
90,164,non-veg,216,"Chicken Biryani"
91,92,veg,209,"Aloo Paratha"
92,233,veg,223,"Masala Dosa"
93,97,veg,196,"Masala Dosa"
94,140,non-veg,270,"Chicken 65"
95,42,non-veg,174,"Fish Curry"
96,227,non-veg,145,"Butter Chicken"
97,271,veg,187,"Paneer Tikka"
98,91,non-veg,237,"Fish Curry"
99,170,veg,139,"Aloo Paratha"
100,18,non-veg,225,"Chicken Biryani"
101,166,non-veg,172,"Chicken 65"
102,162,veg,233,"Paneer Tikka"
103,98,non-veg,292,"Mutton Rogan Josh"
104,127,veg,185,"Veg Biryani"
105,4,non-veg,284,"Mutton Rogan Josh"
106,155,veg,202,"Veg Biryani"
107,2,non-veg,218,"Chicken Biryani"
108,120,non-veg,141,"Mutton Rogan Josh"
109,50,non-veg,275,"Chicken Biryani"
110,226,veg,251,"Paneer Tikka"
111,175,veg,272,"Aloo Paratha"
112,109,non-veg,252,"Chicken Biryani"
113,195,veg,261,"Veg Biryani"
114,192,veg,201,"Chole Bhature"
115,253,veg,137,"Aloo Paratha"
116,36,veg,284,"Chole Bhature"
117,43,non-veg,246,"Chicken 65"
118,127,veg,229,"Veg Biryani"
119,193,non-veg,168,"Mutton Rogan Josh"
120,154,veg,219,"Veg Biryani"
121,182,veg,224,"Chole Bhature"
122,189,non-veg,311,"Chicken Biryani"
123,196,non-veg,239,"Chicken Biryani"
124,201,veg,242,"Paneer Tikka"
125,218,veg,185,"Masala Dosa"
126,298,veg,135,"Veg Biryani"
