order_id,food_item_id,created_at,is_primary_item,price,quantity
1,3083,"2024-09-11 11:13:05",Yes,182,1
1,390,"2024-09-11 11:13:05",No,288,1
1,2076,"2024-09-11 11:13:05",No,153,1
2,2867,"2024-09-13 03:48:42",Yes,300,1
3,4996,"2025-03-03 01:49:44",Yes,160,1
3,2166,"2025-03-03 01:49:44",No,265,1
4,277,"2025-01-08 11:32:19",No,166,1
4,771,"2025-01-08 11:32:19",No,164,1
4,75,"2025-01-08 11:32:19",Yes,286,1
4,2356,"2025-01-08 11:32:19",No,175,1
5,3158,"2024-07-29 02:59:48",Yes,194,1
5,3158,"2024-07-29 02:59:48",No,194,1
5,818,"2024-07-29 02:59:48",No,334,1
5,818,"2024-07-29 02:59:48",No,334,1
5,1938,"2024-07-29 02:59:48",No,203,1
6,3265,"2024-08-24 04:41:23",No,229,1
6,1077,"2024-08-24 04:41:23",Yes,185,1
7,3216,"2024-10-29 16:25:56",No,219,1
7,4259,"2024-10-29 16:25:56",No,172,1
7,288,"2024-10-29 16:25:56",Yes,203,1
7,3216,"2024-10-29 16:25:56",No,219,1
8,2868,"2025-06-06 09:44:36",Yes,182,1
8,2162,"2025-06-06 09:44:36",No,310,1
8,732,"2025-06-06 09:44:36",No,193,1
8,997,"2025-06-06 09:44:36",No,167,1
8,2695,"2025-06-06 09:44:36",No,276,1
9,3008,"2024-11-13 19:29:03",Yes,234,1
9,3695,"2024-11-13 19:29:03",No,229,1
10,1260,"2025-04-12 09:57:08",Yes,125,1
11,1845,"2025-03-24 11:17:03",No,171,1
11,23,"2025-03-24 11:17:03",Yes,264,1
12,414,"2024-11-26 14:47:06",Yes,230,1
12,4877,"2024-11-26 14:47:06",No,196,1
12,4786,"2024-11-26 14:47:06",No,334,1
12,4058,"2024-11-26 14:47:06",No,183,1
12,3154,"2024-11-26 14:47:06",No,257,1
13,1355,"2025-06-09 17:13:15",No,278,1
13,4508,"2025-06-09 17:13:15",Yes,220,1
13,4603,"2025-06-09 17:13:15",No,150,1
13,4347,"2025-06-09 17:13:15",No,221,1
13,4365,"2025-06-09 17:13:15",No,247,1
14,3077,"2024-11-14 05:52:17",No,278,1
14,4702,"2024-11-14 05:52:17",Yes,263,1
14,4679,"2024-11-14 05:52:17",No,190,1
15,1882,"2024-08-08 08:30:58",Yes,206,1
15,1882,"2024-08-08 08:30:58",No,206,1
16,858,"2024-10-06 16:13:44",Yes,215,1
17,2007,"2024-11-16 00:21:33",Yes,211,1
17,3643,"2024-11-16 00:21:33",No,253,1
18,2515,"2024-07-28 10:06:06",No,277,1
18,4759,"2024-07-28 10:06:06",No,209,1
18,1024,"2024-07-28 10:06:06",No,170,1
18,3976,"2024-07-28 10:06:06",Yes,248,1
18,3275,"2024-07-28 10:06:06",No,162,1
19,2543,"2024-09-19 12:22:45",Yes,291,1
20,1674,"2024-12-16 22:39:06",Yes,188,1
20,1575,"2024-12-16 22:39:06",No,219,1
20,3387,"2024-12-16 22:39:06",No,180,1
20,98,"2024-12-16 22:39:06",No,237,1
20,98,"2024-12-16 22:39:06",No,237,1
21,154,"2025-03-16 20:33:30",Yes,221,1
22,3294,"2024-10-15 08:11:39",No,283,1
22,293,"2024-10-15 08:11:39",No,158,1
22,1518,"2024-10-15 08:11:39",No,221,1
22,3760,"2024-10-15 08:11:39",Yes,196,1
23,2285,"2025-01-04 16:02:19",Yes,268,1
23,83,"2025-01-04 16:02:19",No,234,1
23,2458,"2025-01-04 16:02:19",No,231,1
23,3787,"2025-01-04 16:02:19",No,168,1
23,1484,"2025-01-04 16:02:19",No,160,1
24,2857,"2024-09-04 16:09:03",Yes,285,1
24,3122,"2024-09-04 16:09:03",No,194,1
25,1771,"2025-03-13 20:17:43",No,180,1
25,1422,"2025-03-13 20:17:43",No,224,1
25,2677,"2025-03-13 20:17:43",Yes,197,1
25,1422,"2025-03-13 20:17:43",No,224,1
26,1046,"2025-05-20 05:13:29",Yes,273,1
26,302,"2025-05-20 05:13:29",No,267,1
26,4772,"2025-05-20 05:13:29",No,245,1
27,3185,"2025-02-06 23:51:54",No,214,1
27,3134,"2025-02-06 23:51:54",Yes,235,1
28,2477,"2025-04-24 03:12:50",Yes,158,1
29,3880,"2025-04-23 23:58:53",No,276,1
29,3440,"2025-04-23 23:58:53",No,221,1
29,2957,"2025-04-23 23:58:53",No,280,1
29,2957,"2025-04-23 23:58:53",Yes,280,1
29,3880,"2025-04-23 23:58:53",No,276,1
30,4115,"2024-09-21 15:26:36",Yes,266,1
30,2862,"2024-09-21 15:26:36",No,282,1
30,1652,"2024-09-21 15:26:36",No,256,1
31,1758,"2025-04-14 21:35:52",Yes,191,1
31,1775,"2025-04-14 21:35:52",No,190,1
32,206,"2024-09-16 18:51:00",Yes,278,1
33,4219,"2024-10-07 00:08:16",Yes,215,1
33,552,"2024-10-07 00:08:16",No,268,1
33,552,"2024-10-07 00:08:16",No,268,1
34,1794,"2024-11-18 00:25:24",Yes,186,1
35,113,"2025-05-02 02:52:28",No,261,1
35,113,"2025-05-02 02:52:28",No,261,1
35,2252,"2025-05-02 02:52:28",No,201,1
35,3288,"2025-05-02 02:52:28",No,303,1
35,3439,"2025-05-02 02:52:28",Yes,259,1
36,2512,"2025-06-10 16:09:04",Yes,186,1
36,2799,"2025-06-10 16:09:04",No,144,1
36,1672,"2025-06-10 16:09:04",No,244,1
37,3547,"2024-09-03 14:29:36",Yes,295,1
38,74,"2025-01-07 08:41:51",No,140,1
38,253,"2025-01-07 08:41:51",No,242,1
38,696,"2025-01-07 08:41:51",No,211,1
38,696,"2025-01-07 08:41:51",Yes,211,1
38,237,"2025-01-07 08:41:51",No,156,1
39,4820,"2025-01-03 16:51:40",Yes,275,1
39,2619,"2025-01-03 16:51:40",No,128,1
40,1411,"2025-01-09 05:36:30",Yes,316,1
40,2653,"2025-01-09 05:36:30",No,199,1
41,4927,"2024-08-13 01:20:05",Yes,261,1
41,4341,"2024-08-13 01:20:05",No,190,1
41,4341,"2024-08-13 01:20:05",No,190,1
42,3010,"2025-02-25 00:49:37",No,203,1
42,539,"2025-02-25 00:49:37",No,184,1
42,2933,"2025-02-25 00:49:37",Yes,162,1
43,3001,"2024-12-09 01:16:08",Yes,309,1
44,2086,"2025-05-02 21:36:03",Yes,243,1
45,1226,"2025-02-22 01:16:49",Yes,263,1
45,2524,"2025-02-22 01:16:49",No,213,1
45,1411,"2025-02-22 01:16:49",No,316,1
45,1411,"2025-02-22 01:16:49",No,316,1
46,4599,"2024-07-26 13:20:35",Yes,194,1
46,1006,"2024-07-26 13:20:35",No,262,1
47,2431,"2024-07-28 16:29:12",No,177,1
47,590,"2024-07-28 16:29:12",No,116,1
47,589,"2024-07-28 16:29:12",Yes,291,1
47,4983,"2024-07-28 16:29:12",No,318,1
47,3989,"2024-07-28 16:29:12",No,229,1
48,1960,"2025-04-25 14:50:43",Yes,189,1
48,2805,"2025-04-25 14:50:43",No,249,1
48,3666,"2025-04-25 14:50:43",No,179,1
49,1039,"2024-10-06 19:21:14",Yes,229,1
49,2421,"2024-10-06 19:21:14",No,248,1
49,915,"2024-10-06 19:21:14",No,224,1
50,1411,"2024-08-13 10:07:46",No,316,1
50,2524,"2024-08-13 10:07:46",No,213,1
50,2112,"2024-08-13 10:07:46",Yes,223,1
50,4640,"2024-08-13 10:07:46",No,246,1
50,4640,"2024-08-13 10:07:46",No,246,1
51,1043,"2024-10-19 01:41:33",Yes,179,1
51,1043,"2024-10-19 01:41:33",No,179,1
52,2144,"2025-05-22 18:21:28",No,312,1
52,793,"2025-05-22 18:21:28",Yes,316,1
53,1097,"2024-09-22 09:53:50",No,298,1
53,3686,"2024-09-22 09:53:50",No,205,1
53,1097,"2024-09-22 09:53:50",Yes,298,1
53,3686,"2024-09-22 09:53:50",No,205,1
54,1799,"2024-09-19 00:06:25",Yes,237,1
54,4303,"2024-09-19 00:06:25",No,263,1
54,2322,"2024-09-19 00:06:25",No,263,1
54,3152,"2024-09-19 00:06:25",No,259,1
54,3211,"2024-09-19 00:06:25",No,313,1
55,1569,"2025-02-17 06:31:47",No,213,1
55,3389,"2025-02-17 06:31:47",No,220,1
55,1962,"2025-02-17 06:31:47",No,199,1
55,3347,"2025-02-17 06:31:47",Yes,230,1
